participant	session	TrialNumber	speed	barWidth	time	ran	order	wbad	wbas
Nobody	1	1	40.0	1	0	1.0	0.0	-0.144832	1.54693
Nobody	1	2	40.0	1	1	1.0	1.0	-0.111409	1.55807
Nobody	1	3	40.0	1	2	1.0	2.0	-0.111409	1.55807
Nobody	1	4	40.0	1	3	1.0	3.0	-0.0594181	1.54321
Nobody	1	5	40.0	1	4	1.0	4.0	-0.0816998	1.61006
Nobody	1	6	40.0	1	5	1.0	5.0	-0.0816998	1.61006
Nobody	1	7	40.0	1	6	1.0	6.0	-0.0965543	1.54321
Nobody	1	8	40.0	1	7	1.0	7.0	-0.107695	1.5395
Nobody	1	9	40.0	1	8	1.0	8.0	-0.107695	1.5395
Nobody	1	10	40.0	1	9	1.0	9.0	-0.0816998	1.54321
Nobody	1	11	40.0	1	10	1.0	10.0	-0.103982	1.54321
Nobody	1	12	40.0	1	11	1.0	11.0	-0.189395	1.50236
Nobody	1	13	40.0	1	12	1.0	12.0	-0.152259	1.49494
Nobody	1	14	40.0	1	13	1.0	13.0	-0.152259	1.49494
Nobody	1	15	40.0	1	14	1.0	14.0	-0.0891271	1.53579
Nobody	1	16	40.0	1	15	1.0	15.0	-0.0891271	1.53579
Nobody	1	17	40.0	1	16	1.0	16.0	-0.137404	1.46523
Nobody	1	18	40.0	1	17	1.0	17.0	-0.133691	1.54321
Nobody	1	19	40.0	1	18	1.0	18.0	-0.185681	1.49122
Nobody	1	20	40.0	1	19	1.0	19.0	-0.181968	1.50979
Nobody	1	21	40.0	1	20	1.0	20.0	-0.181968	1.50979
Nobody	1	22	40.0	1	21	1.0	21.0	-0.170827	1.4838
Nobody	1	23	40.0	1	22	1.0	22.0	-0.196822	1.50236
Nobody	1	24	40.0	1	23	1.0	23.0	-0.193109	1.50608
Nobody	1	25	40.0	1	24	1.0	24.0	-0.1634	1.51351
Nobody	1	26	40.0	1	25	1.0	25.0	-0.193109	1.49865
Nobody	1	27	40.0	1	26	1.0	26.0	-0.193109	1.49865
Nobody	1	28	40.0	1	27	1.0	27.0	-0.189395	1.48751
Nobody	1	29	40.0	1	28	1.0	28.0	-0.167113	1.50979
Nobody	1	30	40.0	1	29	1.0	29.0	--	--
Nobody	1	31	40.0	1	30	0.0	--	--	--
Nobody	1	32	40.0	1	31	0.0	--	--	--
Nobody	1	33	40.0	1	32	0.0	--	--	--
Nobody	1	34	40.0	1	33	0.0	--	--	--
Nobody	1	35	40.0	1	34	0.0	--	--	--
Nobody	1	36	40.0	1	35	0.0	--	--	--
Nobody	1	37	40.0	1	36	0.0	--	--	--
Nobody	1	38	40.0	1	37	0.0	--	--	--
Nobody	1	39	40.0	1	38	0.0	--	--	--
Nobody	1	40	40.0	1	39	0.0	--	--	--
Nobody	1	41	40.0	1	40	0.0	--	--	--
Nobody	1	42	40.0	1	41	0.0	--	--	--
Nobody	1	43	40.0	1	42	0.0	--	--	--
